column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:AG011:WIC411-PV, AC#1 Comp1a Oxygen Flow, kg/h
PPO:AG011:WIC411-PV, AC#1 Comp1a Oxygen Flow, kg/h
PPO:AG011:WIC411-SP, AC#1 Comp1a Oxygen Flow, kg/h
PPO:AG011:WIC411-SP, AC#1 Comp1a Oxygen Flow, kg/h
PPO:AG012:WIC412-MODE, AC#1 Comp1b Oxygen Flow,  
PPO:AG012:WIC412-MODE, AC#1 Comp1b Oxygen Flow,  
PPO:AG012:WIC412-OP, AC#1 Comp1b Oxygen Flow, %
PPO:AG012:WIC412-OP, AC#1 Comp1b Oxygen Flow, %
PPO:AG012:WIC412-PV, AC#1 Comp1b Oxygen Flow, kg/h
PPO:AG012:WIC412-PV, AC#1 Comp1b Oxygen Flow, kg/h
PPO:AG012:WIC412-SP, AC#1 Comp1b Oxygen Flow, kg/h
PPO:AG012:WIC412-SP, AC#1 Comp1b Oxygen Flow, kg/h
PPO:AG013:WIC413-MODE, AC#1 Comp1c Oxygen Flow,  
PPO:AG013:WIC413-MODE, AC#1 Comp1c Oxygen Flow,  
PPO:AG013:WIC413-OP, AC#1 Comp1c Oxygen Flow, %
PPO:AG013:WIC413-OP, AC#1 Comp1c Oxygen Flow, %
PPO:AG013:WIC413-PV, AC#1 Comp1c Oxygen Flow, kg/h
PPO:AG013:WIC413-PV, AC#1 Comp1c Oxygen Flow, kg/h
PPO:AG013:WIC413-SP, AC#1 Comp1c Oxygen Flow, kg/h
PPO:AG013:WIC413-SP, AC#1 Comp1c Oxygen Flow, kg/h
PPO:AG014:WIC414-MODE, AC#1 Comp2 Oxygen Flow,  
PPO:AG014:WIC414-MODE, AC#1 Comp2 Oxygen Flow,  
PPO:AG014:WIC414-OP, AC#1 Comp2 Oxygen Flow, %
PPO:AG014:WIC414-OP, AC#1 Comp2 Oxygen Flow, %
PPO:AG014:WIC414-PV, AC#1 Comp2 Oxygen Flow, kg/h
PPO:AG014:WIC414-PV, AC#1 Comp2 Oxygen Flow, kg/h
PPO:AG014:WIC414-SP, AC#1 Comp2 Oxygen Flow, kg/h
PPO:AG014:WIC414-SP, AC#1 Comp2 Oxygen Flow, kg/h
PPO:AG015:WIC415-MODE, AC#1 Comp3 Oxygen Flow,  
PPO:AG015:WIC415-MODE, AC#1 Comp3 Oxygen Flow,  
PPO:AG015:WIC415-OP, AC#1 Comp3 Oxygen Flow, %
PPO:AG015:WIC415-OP, AC#1 Comp3 Oxygen Flow, %
PPO:AG015:WIC415-PV, AC#1 Comp3 Oxygen Flow, kg/h
PPO:AG015:WIC415-PV, AC#1 Comp3 Oxygen Flow, kg/h
PPO:AG015:WIC415-SP, AC#1 Comp3 Oxygen Flow, kg/h
PPO:AG015:WIC415-SP, AC#1 Comp3 Oxygen Flow, kg/h
PPO:AG016:FI416, AC#1 Comp4 Oxygen Flow, m3/h
PPO:AG016:FI416, AC#1 Comp4 Oxygen Flow, m3/h
PPO:AG016:WIC416-MODE, AC#1 Comp4 Oxygen Flow,  
PPO:AG016:WIC416-MODE, AC#1 Comp4 Oxygen Flow,  
PPO:AG016:WIC416-OP, AC#1 Comp4 Oxygen Flow, %
PPO:AG016:WIC416-OP, AC#1 Comp4 Oxygen Flow, %
PPO:AG016:WIC416-PV, AC#1 Comp4 Oxygen Flow, kg/h
PPO:AG016:WIC416-PV, AC#1 Comp4 Oxygen Flow, kg/h
PPO:AG016:WIC416-SP, AC#1 Comp4 Oxygen Flow, kg/h
PPO:AG016:WIC416-SP, AC#1 Comp4 Oxygen Flow, kg/h
PPO:AG017:WIC417-MODE, AC#1 Comp5 Oxygen Flow,  
PPO:AG017:WIC417-MODE, AC#1 Comp5 Oxygen Flow,  
PPO:AG017:WIC417-OP, AC#1 Comp5 Oxygen Flow, %
PPO:AG017:WIC417-OP, AC#1 Comp5 Oxygen Flow, %
PPO:AG017:WIC417-PV, AC#1 Comp5 Oxygen Flow, kg/h
PPO:AG017:WIC417-PV, AC#1 Comp5 Oxygen Flow, kg/h
PPO:AG017:WIC417-SP, AC#1 Comp5 Oxygen Flow, kg/h
PPO:AG017:WIC417-SP, AC#1 Comp5 Oxygen Flow, kg/h
PPO:AG018:WIC418-MODE, AC#1 Comp6 Oxygen Flow,  
PPO:AG018:WIC418-MODE, AC#1 Comp6 Oxygen Flow,  
PPO:AG018:WIC418-OP, AC#1 Comp6 Oxygen Flow, %
PPO:AG018:WIC418-OP, AC#1 Comp6 Oxygen Flow, %
PPO:AG018:WIC418-PV, AC#1 Comp6 Oxygen Flow, kg/h
PPO:AG018:WIC418-PV, AC#1 Comp6 Oxygen Flow, kg/h
PPO:AG018:WIC418-SP, AC#1 Comp6 Oxygen Flow, kg/h
PPO:AG018:WIC418-SP, AC#1 Comp6 Oxygen Flow, kg/h
PPO:WC001:WC001, AC#1 O2 Distribution Output, %
PPO:WC001:WX001-TOT, AC#1 O2 Total Oxygen Setpoint, %
PPO:AC001:WI068A, AC#1 Oxygen Mass Flow, kg/h
PPO:T-AC001:WQ068, AC#1 Total O2 Flow, tonnes
PPO:T-PU055:FQ043, AC#1 Total OSR Flow, m3/h
PPO:WC001:WQC001.OUT, AC1 Total O2 Demand override for header flow, kg/h
PPO:WC001:WQC001.SPT, AC1 Total O2 Demand override for header flow SPT, kg/h
PPO:WC001:WQC001_TOT.OUT, AC1 Total O2 Demand override for header feed flow, kg/h
PPO:WC001:WQC001_TOT.SPT, AC1 Total O2 Demand override for header feed flow SPT, kg/h
PPO:WC002:WQC002.SPT, AC1 Total O2 Demand override for header flow SPT, kg/h
PPO:WC002:WQC002_TOT.SPT, AC1 Total O2 Demand override for header feed flow SPT, kg/h
PPO:WC003:WQC003.SPT, AC1 Total O2 Demand override for header flow SPT, kg/h
PPO:WC003:WQC003_TOT.SPT, AC1 Total O2 Demand override for header feed flow SPT, kg/h
PPO:AC001:FI068, AC#1 Oxygen Flow, m3/h
PPO:AC001:FI068, AC#1 Oxygen Flow, m3/h
PPO:AC001:PI068, AC#1 O2_Header Press., kPag
PPO:AC001:TI068, AC#1 Oxygen Temp., DegC
PPO:AC001:WI068A, AC#1 Oxygen Mass Flow, kg/h
PPO:T-AC001:WQ068, AC#1 Total O2 Flow, tonnes
PPO:WC001:WC001, AC#1 O2 Distribution Output, %
PPO:WC001:WQC001.OUT, AC1 Total O2 Demand override for header flow, kg/h
PPO:WC001:WQC001.SPT, AC1 Total O2 Demand override for header flow SPT, kg/h
PPO:WC001:WQC001_TOT.OUT, AC1 Total O2 Demand override for header feed flow, kg/h
PPO:WC001:WQC001_TOT.SPT, AC1 Total O2 Demand override for header feed flow SPT, kg/h
PPO:WC001:WX001-TOT, AC#1 O2 Total Oxygen Setpoint, %
PPO:WC002:WQC002.SPT, AC1 Total O2 Demand override for header flow SPT, kg/h
PPO:WC002:WQC002_TOT.SPT, AC1 Total O2 Demand override for header feed flow SPT, kg/h
PPO:WC003:WQC003.SPT, AC1 Total O2 Demand override for header flow SPT, kg/h
PPO:WC003:WQC003_TOT.SPT, AC1 Total O2 Demand override for header feed flow SPT, kg/h
PPO:AC1:%O2_OVPRS-PV, AC#1 %O2 OverPressure Calc Out, %O2
PPO:AC1:%O2_OVPRS-PV-CALC, AC#1 %O2 OverPressure Calc TEMP, %O2
PPO:AC1:%O2_OVPRS-SPT, AC#1 %O2 OverPressure SetPoint, %O2
PPO:Old1:%Target, AC#1 % over pressure, m3/h
PPO:Old1:Calc % O2, AC#1 % over pressure, %
PPO:Old1_%O2-SPT, AC#1 %O2 Over Pressure SetPoint, %O2
PPO:Old1_OVRPRS-%O2, AC#1 %O2 Over Pressure, %O2
PPO:AC1:%O2_PRESS-PV, AC#1 Pressure @ %O2 Over Pressure, kPag
PPO:Old1_%O2-PRESS, AC#1 Pressure @ %O2 Over Pressure, kPag
PPO:AC1:%O2_PRESS-SPT, AC#1 Pressure SetPoint @ %O2 Over Pres., kPag
PPO:AC1:%O2_OVPRS-PV, AC#1 %O2 OverPressure Calc Out, %O2
PPO:AC1:%O2_OVPRS-PV-CALC, AC#1 %O2 OverPressure Calc TEMP, %O2
PPO:AC1:%O2_OVPRS-SPT, AC#1 %O2 OverPressure SetPoint, %O2
PPO:Old1:%Target, AC#1 % over pressure, m3/h
PPO:Old1:Calc % O2, AC#1 % over pressure, %
PPO:Old1_%O2-SPT, AC#1 %O2 Over Pressure SetPoint, %O2
PPO:Old1_OVRPRS-%O2, AC#1 %O2 Over Pressure, %O2
PPO:AC001:ORP_MANUAL, AC001 ORP MANUAL ENTRY, mV
PPO:AC001:Ss_CRO_Entered, AC001 CRO Entered Ss %, %
PPO:AC001_%S2_IN_ACF, AC#1 %S2 in ACF, %
PPO:AC001_O2_S2_THEOR, AC#1 O2:S2 Theoretical Ratio, %
PPO:L-ACD1_As_12HR, AC#1 Disch As 12hrly, ppm
PPO:L-ACD1_As_12HR_SQL, AC#1 Disch As 12hrly, ppm
PPO:L-ACD1_AU_12HR, AC#1 Disch Au 12hrly, ppm
PPO:L-ACD1_AU_12HR_SQL, AC#1 Disch Au 12hrly, ppm
PPO:L-ACD1_CL_12HR, AC#1 Disch Cl 12hrly, ppm
PPO:L-ACD1_CL_12HR_SQL, AC#1 Disch Cl 12hrly, ppm
PPO:L-ACD1_FE2_12HR, AC#1 Disch Fe2 12hrly, g/l
PPO:L-ACD1_FE2_12HR_SQL, AC#1 Disch Fe2 12hrly, g/l
PPO:L-ACD1_FE2_2HR, AC#1 Disch Fe3 2hrly, g/l
PPO:L-ACD1_FE3_12HR, AC#1 Disch Fe3 12hrly, g/l
PPO:L-ACD1_FE3_12HR_SQL, AC#1 Disch Fe3 12hrly, g/l
PPO:L-ACD1_FE3_2HR, AC#1 Disch Fe3 2hrly, g/l
PPO:L-ACD1_H2SO4_12HR, AC#1 Disch H2SO4 12hrly, g/l
PPO:L-ACD1_H2SO4_12HR_SQL, AC#1 Disch H2SO4 12hrly, g/l
PPO:L-ACD1_H2SO4_3HR, AC1 disch H2SO4 3Hrly, g/l
PPO:L-ACD1_H2SO4_3HR_SQL, AC1 disch H2SO4 3Hrly, g/l
PPO:L-ACD1_ORP_12HR, AC#1 Disch ORP 12hrly, mV
PPO:L-ACD1_ORP_12HR_SQL, AC#1 Disch ORP 12hrly, mV
PPO:L-ACD1_ORP_3HR, AC#1 Disch ORP (mV), mV
PPO:L-ACD1_ORP_3HR_SQL, AC#1 Disch ORP (mV), mV
PPO:L-ACD1_PH_12HR, AC#1 Disch pH 12hrly, pH
PPO:L-ACD1_PH_12HR_SQL, AC#1 Disch pH 12hrly, pH
PPO:L-ACD1_R_S2_12HR, AC#1 Disch S2 12hrly Dup, %
PPO:L-ACD1_R_S2_12HR_SQL, AC#1 Disch S2 12hrly Dup, %
PPO:L-ACD1_R2_S2_12HR, AC#1 Disch S2 12hrly Dup, %
PPO:L-ACD1_R3_S2_12HR, AC#1 Disch S2 12hrly, %
PPO:L-ACD1_RS_12HR_SQL, AC#1 Disch Reactive Sulphur 12hrly, %
PPO:L-ACD1_RS_3HR_SQL, AC#1 Disch Reactive Sulphur 3hrly, %
PPO:L-ACD1_S2_12HR, AC#1 Disch S2 12hrly, %
PPO:L-ACD1_S2_12HR_SQL, AC#1 Disch S2 12hrly, %
PPO:L-ACD1_S2_2HR, AC#1 Disch S2 2hrly, %
PPO:L-ACD1_S2_2HR_SQL, AC#1 Disch S2 2hrly, %
PPO:PV001:AI131, AC#1 Disch ORP, mV
PPO:PU033:FI061, AC#1 Fd_Pmp1 Flow, m3/h
PPO:PU033:FI061_TOTAL, AC#1 Fd_Pmp1 Flow Totaliser, m3
PPO:PU033:PI061, AC#1 Fd_Pmp1 Suct Press., kPag
PPO:PU033:SI061, AC#1 Fd_Pmp1 Speed, %
PPO:PU033:SIC061-BIAS, AC#1 Fd_Pmp1 Spd Ctrl, %
PPO:PU033:SIC061-MODE, AC#1 Fd_Pmp1 Spd Ctrl,  
PPO:PU033:SIC061-OP, AC#1 Fd_Pmp1 Spd Ctrl, %
PPO:PU033:SIC061-PV, AC#1 Fd_Pmp1 Spd Ctrl, %
PPO:PU033:UI061, AC#1 Fd_Pmp1 Vol. Flow Eff., %
PPO:PU033:WI061, AC#1 Fd_Pmp1 Mass_Flow, t/h
PPO:PU033:WI061B, AC#1 Feed Density, %
PPO:PU033A-AMPS, AC#1 Fd_Pmp1 LO_Pmp, Amps
PPO:PU033-AMPS, AC#1 Fd_Pmp1 Current, Amps
PPO:PU033A-STAT, AC#1 Fd_Pmp1 LO_Pmp,  
PPO:PU033B-AMPS, AC#1 Fd_Pmp1 Prop_Liq_Pmp, Amps
PPO:PU033B-STAT, AC#1 Fd_Pmp1 Prop_Liq_Pmp,  
PPO:PU033-SPD, AC#1 Fd_Pmp1 Speed, %
PPO:PU033-STAT, AC#1 Fd_Pmp1,  
PPO:PU033-THEOR_FLOW, PU033 Theoretical Flow, m3/h
PPO:PU034-THEOR_FLOW, PU034 Theoretical Flow, m3/h
PPO:PU055:FIC043-MODE, AC#1 Flash_Vsl Flow,  
PPO:PU055:FIC043-OP, AC#1 Flash_Vsl Flow, %
PPO:PU055:FIC043-PV, AC#1 Flash_Vsl Flow, m3/h
PPO:PU055:FIC043-SP, AC#1 Flash_Vsl Flow, m3/h
PPO:PU083-STAT, PRES Pmp1,  
PPO:PU801:FI891, AC#1 Fd_Pmp2 Flow, m3/h
PPO:PU801:FI891_TOTAL, AC#1 Fd_Pmp2 Flow Totaliser, m3
PPO:PU801:PI891, AC#1 Fd_Pmp2 Suct Press., kPag
PPO:PU801:PI891A, AC#1 Fd_Pmp2 Propel Liq Press, kPag
PPO:PU801:PI891B, AC#1 Fd_Pmp2 Dischag Press, kPag
PPO:PU801:SI891A, AC#1 Fd_Pmp2 Actual Speed, spm
PPO:PU801:SI891B, AC#1 Fd_Pmp2 Actual Speed, spm
PPO:PU801:SI891Z, AC#1 Fd_Pmp2 Speed, spm
PPO:PU801:SIC891-BIAS, AC#1 Fd_Pmp2 Spd Ctrl, %
PPO:PU801:SIC891-MODE, AC#1 Fd_Pmp2 Spd Ctrl,  
PPO:PU801:SIC891-OP, AC#1 Fd_Pmp2 Spd Ctrl, %
PPO:PU801:SIC891-PV, AC#1 Fd_Pmp2 Spd Ctrl, %
PPO:PU801:UI891, AC#1 Fd_Pmp2 Vol. Flow Eff., %
PPO:PU801:WI891, AC#1 Fd_Pmp2 Mass_Flow, t/h
PPO:PU801:WIC891-MODE, AC#1 Feed Flow,  
PPO:PU801:WIC891-OP, AC#1 Feed Flow, %
PPO:PU801:WIC891-PV, AC#1 Feed Flow, t/h
PPO:PU801:WIC891-SP, AC#1 Feed Flow, t/h
PPO:PU801A-AMPS, AC#1 Fd_Pmp2 LO_Pmp, Amps
PPO:PU801-AMPS, AC#1 Fd_Pmp2 Current, Amps
PPO:PU801A-STAT, AC#1 Fd_Pmp2 LO_Pmp,  
PPO:PU801B-AMPS, AC#1 Fd_Pmp2 Prop_Liq Pmp, Amps
PPO:PU801B-STAT, AC#1 Fd_Pmp2 Prop_Liq Pmp,  
PPO:PU801-SPD, AC#1 Fd_Pmp2 Speed, %
PPO:PU801-STAT, AC#1 Fd_Pmp2,  
PPO:PU801-THEOR_FLOW, PU801 Theoretical Flow, m3/h
PPO:T-PU033:WQ061, AC#1 Fd_Pmp1 Tot Mass_Flow, tonnes
PPO:T-PU801:WQ891, AC#1 Fd_Pmp2 Tot Mass_Flow, tonnes
PPO:AC001:HV122A, PV001 Autoclave DISCHARGE FLASH VESSEL Vlv 1a,  
PPO:PV001:HV122B, PV001 Autoclave DISCHARGE FLASH VESSELVlv 1b,  
PPO:PV001:HV122B1, PV001 Autoclave DISCHARGE FLASH VESSELVlv 1b,  
PPO:PV001:LI122, AC#1 Flash_Vsl Level, %
PPO:PV001:PI122, AC#1 Flash_Vsl Press., kPag
PPO:Autoclave2_Rate_RawFeed-PPMS, PPMS Autoclave 2 Rate (Raw Feed), tph
PPO:Old2:SptPressure, AC#2 Setpoint Pressure, kPag
PPO:Autoclave2_Rate_Target-PPMS, PPMS Autoclave 2 Rate Target, tph
PPO:PV002:FI133, AC#2 Scrubber Sea_H2O Flow, m3/h
PPO:Autoclave2_Util-PPMS, PPMS Autoclave 2 Utilization Trigger,  
PPO:PV002:FI134, AC#2 Scrubber Sea_H2O Flow, m3/h
PPO:PU034:WI062B, AC#2 Feed Density, %
PPO:PV002:FIC133-MODE, AC2 Exit Duct SW Flow Controller,  
PPO:PU802:WIC892-MODE, AC#2 Feed Flow,  
PPO:PV002:FIC133-OP, AC2 Exit Duct SW Flow Controller, %
PPO:PU802:WIC892-OP, AC#2 Feed Flow, %
PPO:PV002:FIC133-PV, AC2 Exit Duct SW Flow Controller, m3/h
PPO:PU802:WIC892-PV, AC#2 Feed Flow, t/h
PPO:PV002:FIC133-SP, AC2 Exit Duct SW Flow Controller, m3/h
PPO:PU802:WIC892-SP, AC#2 Feed Flow, t/h
PPO:PV002:PIC134-MODE, AC#2 Scrubber Press.,  
PPO:WIC892_TST-PV, AC-2 FEED MASS FLOW, T/h
PPO:PV002:PIC134-OP, AC#2 Scrubber Press., %
PPO:WY062_TST-ROUT, AC-2 FEED % SOLIDS, %
PPO:PV002:PIC134-PV, AC#2 Scrubber Press., kPag
PPO:AC2_Control_Mode, AC 2 Automation Percentage, %
PPO:PV002:PIC134-SP, AC#2 Scrubber Press., kPag
PPO:PV002:TIC132-MODE, AC#2 Exit_Duct Temp.,  
PPO:PV002:TIC132-OP, AC#2 Exit_Duct Temp., m3/hr
PPO:AC002:HV132A_PV, AC#2 Slurry DsChg Vlv 1a Open/Close Position InDi, %
PPO:PV002:TIC132-PV, AC#2 Exit_Duct Temp., DegC
PPO:AC002:HV132A_SV, AC#2 Slurry DsChg Vlv 1a Open/Close Differential Pres, psi
PPO:PV002:TIC132-SP, AC#2 Exit_Duct Temp., DegC
PPO:AC002:HV132A_ZI, AC#2 Slurry DsChg Vlv 1a Open/Close Position FdBk, %
PPO:AC002:HV132B_PV, AC#2 Slurry DsChg Vlv 1b Open/Close Position InDi, %
PPO:AC002:HV132B_SV, AC#2 Slurry DsChg Vlv 1b Open/Close Differential Pres, psi
PPO:AC002:HV132B_ZI, AC#2 Slurry DsChg Vlv 1b Open/Close Position FdBk, %
PPO:AC002:HV341A, AC#2 SLURRY FEED Vlv 1a,  
PPO:AC002:HV341A_PV, AC#2 Slurry Fd Vlv 1a Open/Close Position InDi, %
PPO:AC002:HV341A_SV, AC#2 Slurry Fd Vlv 1a Open/Close Differential Pres, psi
PPO:AC002:HV341A_ZI, AC#2 Slurry Fd Vlv 1a Open/Close Position FdBk, %
PPO:AC002:HV341B_PV, AC#2 Slurry Fd Vlv 1b Open/Close Position InDi, %
PPO:AC002:HV341B_SV, AC#2 Slurry Fd Vlv 1b Open/Close Differential Pres, psi
PPO:AC002:HV341B_ZI, AC#2 Slurry Fd Vlv 1b Open/Close Position FdBk, %
PPO:AC002:HV341B1, AC#2 SLURRY FEED Vlv 1b,  
PPO:AC002:HV439A, AC#2 SLURRY FEEDVlv 2a,  
PPO:AC002:HV439A_PV, AC#2 Slurry Fd Vlv 2a Open/Close Position InDi, %
PPO:AC002:HV439A_SV, AC#2 Slurry Fd Vlv 2a Open/Close Differential Pres, psi
PPO:AC002:HV439A_ZI, AC#2 Slurry Fd Vlv 2a Open/Close Position FdBk, %
PPO:AC002:HV439B_PV, AC#2 Slurry Fd Vlv 2b Open/Close Position InDi, %
PPO:AC002:HV439B_SV, AC#2 Slurry Fd Vlv 2b Open/Close Differential Pres, psi
PPO:AC002:HV439B_ZI, AC#2 Slurry Fd Vlv 2b Open/Close Position FdBk, %
PPO:AC002:HV439B1, AC#2 SLURRY FEEDVlv 2b,  
PPO:PV002:HV132A, AC#2 Big Red Disch Valve,  
PPO:PV002:HV132B, AC#2 AUMA Disch Valve,  
PPO:AG021:IIC431-MODE, AC#2 Comp1a Agit. Amps,  
PPO:AG021:IIC431-OP, AC#2 Comp1a Agit. Amps, %
PPO:AG021:IIC431-PV, AC#2 Comp1a Agit. Amps, Amps
PPO:AG021:IIC431-SP, AC#2 Comp1a Agit. Amps, Amps
PPO:AG021:JI431_CALC-PWR, AG021 Calculated Power, kW
PPO:AG021:JI431-PWR, AG021 Power - AC#2 Comp1A, kW
PPO:AG021:SI431-RPM, AG021 Impeller Speed RPM , rpm
PPO:AG021-SPD, AC#2 Comp1a Agit. Speed, %
PPO:AG021-STAT, AC#2 Comp1a Agit.,  
PPO:AG022:IIC432-MODE, AC#2 Comp1b Agit. Amps,  
PPO:AG022:IIC432-OP, AC#2 Comp1b Agit. Amps, %
PPO:AG022:IIC432-PV, AC#2 Comp1b Agit. Amps, Amps
PPO:AG022:IIC432-SP, AC#2 Comp1b Agit. Amps, Amps
PPO:AG022:JI432_CALC-PWR, AG022 Calculated Power, kW
PPO:AG022:JI432-PWR, AG022 Power - AC#2 Comp1B, kW
PPO:AG022:SI432-RPM, AG022 Impeller Speed RPM , rpm
PPO:AG022-SPD, AC#2 Comp1b Agit. Speed, %
PPO:AG022-STAT, AC#2 Comp1b Agit.,  
PPO:AG023:IIC433-MODE, AC#2 Comp1c Agit. Amps,  
PPO:AG023:IIC433-OP, AC#2 Comp1c Agit. Amps, %
PPO:AG023:IIC433-PV, AC#2 Comp1c Agit. Amps, Amps
PPO:AG023:IIC433-SP, AC#2 Comp1c Agit. Amps, Amps
PPO:AG023:JI433_CALC-PWR, AG023 Calculated Power, kW
PPO:AG023:JI433-PWR, AG023 Power - AC#2 Comp1C, kW
PPO:AG023:SI433-RPM, AG023 Impeller Speed RPM , rpm
PPO:AG023-SPD, AC#2 Comp1c Agit. Speed, %
PPO:AG023-STAT, AC#2 Comp1c Agit.,  
PPO:AG024:IIC434-MODE, AC#2 Comp2 Agit. Amps,  
PPO:AG024:IIC434-OP, AC#2 Comp2 Agit. Amps, %
PPO:AG024:IIC434-PV, AC#2 Comp2 Agit. Amps, Amps
PPO:AG024:IIC434-SP, AC#2 Comp2 Agit. Amps, Amps
PPO:AG024:JI434_CALC-PWR, AG024 Calculated Power, kW
PPO:AG024:JI434-PWR, AG024 Power - AC#2 Comp2, kW
PPO:AG024:SI434-RPM, AG024 Impeller Speed RPM , rpm
PPO:AG024-SPD, AC#2 Comp2 Agit. Speed, %
PPO:AG024-STAT, AC#2 Comp2 Agit.,  
PPO:AG025:IIC435-MODE, AC#2 Comp3 Agit. Amps,  
PPO:AG025:IIC435-OP, AC#2 Comp3 Agit. Amps, %
PPO:AG025:IIC435-PV, AC#2 Comp3 Agit. Amps, Amps
PPO:AG025:IIC435-SP, AC#2 Comp3 Agit. Amps, Amps
PPO:AG025:JI435_CALC-PWR, AG025 Calculated Power, kW
PPO:AG025:JI435-PWR, AG025 Power - AC#2 Comp3, kW
PPO:AG025:SI435-RPM, AG025 Impeller Speed RPM , rpm
PPO:AG025-SPD, AC#2 Comp3 Agit. Speed, %
PPO:AG025-STAT, AC#2 Comp3 Agit.,  
PPO:AG026-AMPS, AC#2 Comp4 Agit. Amps, Amps
PPO:AG026-STAT, AC#2 Comp4 Agit.,  
PPO:AG027-AMPS, AC#2 Comp5 Agit. Amps, Amps
PPO:AG027-STAT, AC#2 Comp5 Agit.,  
PPO:AG028-AMPS, AC#2 Comp6 Agit. Amps, Amps
PPO:AG028-STAT, AC#2 Comp6 Agit.,  
PPO:AC002:TI062-C6, AC#2 Comp6 VapourPh Temp., DegC
PPO:AC2:AVEG-TEMP, AC#2 Average Temperature, DegC
PPO:AC2:VPHAS-TEMP, AC#2 Vapour Phase Temperature, DegC
PPO:AG021:TIC431_ROC, AC#2 Comp. 1A Temp. ROC, 
PPO:AG021:TIC431-MODE, AC#2 Comp1a Temp.,  
PPO:AG021:TIC431-OP, AC#2 Comp1a Temp., m3/h
PPO:AG021:TIC431-PV, AC#2 Comp. 1A Temp., DegC
PPO:AG021:TIC431-ROC, AC#2 Comp. 1A Temp. ROC, 
PPO:AG021:TIC431-SP, AC#2 Comp1a Temp., DegC
PPO:AG022:TIC432_ROC, AC-2 Comp. 1B Temp. ROC, 
PPO:AG022:TIC432-MODE, AC#2 Comp1b Temp.,  
PPO:AG022:TIC432-OP, AC#2 Comp1b Temp., m3/h
PPO:AG022:TIC432-PV, AC#2 Comp. 1B Temp., DegC
PPO:AG022:TIC432-PV Actual, AC#2 Comp1b Temp., DegC
PPO:AG022:TIC432-ROC, AC#2 Comp. 1B Temp. ROC, 
PPO:AG022:TIC432-SP, AC#2 Comp1b Temp., DegC
PPO:AG023:TIC433_ROC, AC-2 Comp. 1C Temp. ROC, 
PPO:AG023:TIC433-MODE, AC#2 Comp1c Temp.,  
PPO:AG023:TIC433-OP, AC#2 Comp1c Temp., m3/h
PPO:AG023:TIC433-PV, AC#2 Comp. 1C Temp., DegC
PPO:AG023:TIC433-ROC, AC#2 Comp. 1C Temp. ROC, 
PPO:AG023:TIC433-SP, AC#2 Comp1c Temp., DegC
PPO:AG024:TIC434_ROC, AC-2 Comp. 2 Temp. ROC, 
PPO:AG024:TIC434-MODE, AC#2 Comp2 Temp.,  
PPO:AG024:TIC434-OP, AC#2 Comp2 Temp., m3/h
PPO:AG024:TIC434-PV, AC#2 Comp. 2 Temp., DegC
PPO:AG024:TIC434-ROC, AC#2 Comp. 2 Temp. ROC, 
PPO:AG024:TIC434-SP, AC#2 Comp2 Temp., DegC
PPO:AG025:TIC435_ROC, AC-2 Comp. 3 Temp. ROC, 
PPO:AG025:TIC435-MODE, AC#2 Comp3 Temp.,  
PPO:AG025:TIC435-OP, AC#2 Comp3 Temp., m3/h
PPO:AG025:TIC435-PV, AC#2 Comp. 3 Temp., DegC
PPO:AG025:TIC435-ROC, AC#2 Comp. 3 Temp. ROC, 
PPO:AG025:TIC435-SP, AC#2 Comp3 Temp., DegC
PPO:AG026:TIC436_ROC, AC-2 Comp. 4 Temp. ROC, 
PPO:AG026:TIC436-MODE, AC#2 Comp4 Temp.,  
PPO:AG026:TIC436-OP, AC#2 Comp4 Temp., m3/h
PPO:AG026:TIC436-PV, AC#2 Comp. 4 Temp., DegC
PPO:AG026:TIC436-ROC, AC#2 Comp. 4 Temp. ROC, 
PPO:AG026:TIC436-SP, AC#2 Comp4 Temp., DegC
PPO:AG027:TIC437_ROC, AC-2 Comp. 5 Temp. ROC, 
PPO:AG027:TIC437-MODE, AC#2 Comp5 Temp.,  
PPO:AG027:TIC437-OP, AC#2 Comp5 Temp., m3/h
PPO:AG027:TIC437-PV, AC#2 Comp. 5 Temp., DegC
PPO:AG027:TIC437-ROC, AC#2 Comp. 5 Temp. ROC, 
PPO:AG027:TIC437-SP, AC#2 Comp5 Temp., DegC
PPO:AG028:TIC438_ROC, AC-2 Comp. 6 Temp. ROC, 
PPO:AG028:TIC438-MODE, AC#2 Comp6 Temp.,  
PPO:AG028:TIC438-OP, AC#2 Comp6 Temp., m3/h
PPO:AG028:TIC438-PV, AC#2 Comp. 6 Temp., DegC
PPO:AG028:TIC438-ROC, AC#2 Comp. 6 Temp. ROC, 
PPO:AG028:TIC438-SP, AC#2 Comp6 Temp., DegC
PPO:Old2:AverageTemp, AC#2 weighted Average Temperature, DegC
PPO:PV002:TI131, AC#2 Choke Temp., DegC
PPO:PV002:TI131_RMV, AC#2 Choke Temp., DegC
PPO:AC002:FI075, AC#2 Vent Flow, m3/h
PPO:AC002:PIC075_ROC, AC#2 Pressure Rate of Change, kPa
PPO:AC002:PIC075-MODE, AC#2 Press.,  
PPO:AC002:PIC075-OP, AC#2 Press., %
PPO:AC002:PIC075-PV, AC#2 Press., kPag
PPO:AC002:PIC075-ROC, AC#2 Press. ROC, kPa
